corso_codice,annoaccademico,immatricolabile,corso_descrizione,url,campus,sededidattica,ambiti,tipologia,durata,internazionale,internazionale_titolo,internazionale_lingua,lingue,accesso
659,2018/2019,False,Giurisprudenza,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0659,Bologna,Bologna,Giurisprudenza,Laurea Magistrale a ciclo unico,5,False,,,Italiano,libero accesso con verifica delle conoscenze
660,2018/2019,False,Giurisprudenza,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0660,Ravenna,Ravenna,Giurisprudenza,Laurea Magistrale a ciclo unico,5,False,,,Italiano,libero accesso con verifica delle conoscenze
881,2018/2019,True,Architettura,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0881,Cesena,Cesena,Ingegneria e architettura,Laurea Magistrale a ciclo unico,5,False,,,Italiano,numero chiuso
884,2018/2019,True,Chimica industriale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0884,Bologna,Bologna,Scienze,Laurea Magistrale,2,True,Titolo multiplo (solo alcuni curricula),,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
897,2018/2019,True,Direzione aziendale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0897,Bologna,Bologna,Economia e management,Laurea Magistrale,2,True,,Erogato in lingua straniera (solo alcuni curricula),Italiano Inglese,numero chiuso
900,2018/2019,True,Economia e professione,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0900,Bologna,Bologna,Economia e management,Laurea Magistrale,2,False,,,Italiano,numero chiuso
901,2018/2019,True,"Finanza, intermediari e mercati",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0901,Bologna,Bologna,Economia e management,Laurea Magistrale,2,False,,,Italiano,numero chiuso
902,2018/2019,True,Innovation and organization of culture and the arts,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0902,Bologna,Bologna,Economia e management,Laurea Magistrale,2,True,Titolo multiplo,Erogato in lingua straniera,Inglese,numero chiuso
905,2018/2019,True,Economia e commercio,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0905,ForlÃ¬,ForlÃ¬,Economia e management,Laurea Magistrale,2,True,Titolo multiplo,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
915,2018/2019,False,Consulente del lavoro e delle relazioni aziendali,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0915,Bologna,Bologna,Giurisprudenza,Laurea,3,False,,,Italiano,libero accesso con verifica delle conoscenze
916,2018/2019,False,Giurista d'impresa e delle amministrazioni pubbliche,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0916,Ravenna,Ravenna,Giurisprudenza,Laurea,3,False,,,Italiano,libero accesso con verifica delle conoscenze
920,2018/2019,False,Ingegneria dell'automazione,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0920,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,Italiano,numero chiuso
923,2018/2019,True,Ingegneria elettronica e telecomunicazioni,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0923,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,Italiano,numero chiuso
924,2018/2019,True,Ingegneria energetica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0924,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,Italiano,numero chiuso
925,2018/2019,True,Ingegneria gestionale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0925,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,Italiano,numero chiuso
926,2018/2019,False,Ingegneria informatica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0926,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,Italiano,numero chiuso
