,id,academicYear,DegreeProgrammeLabel,DegreeProgramme,campus,PlaceOfTeaching,AcademicField,type,hasYearsOfDuration,International,Qualification,TeachingLanguage,AccessType,TeachingCode,EducationalActivity,Italian University,Ssd,Cfu,DegreeClass,Department,typeOfActivity
0,956,2018/2019,"Dams - discipline delle arti, della musica  e dello spettacolo",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0956,Bologna,Bologna,Studi umanistici,Laurea,3,False,Titolo unico,Italiano,libero accesso con verifica delle conoscenze,13769,ACUSTICA MUSICALE (1),University of Bologna,L-ART/07,6,"L-3, DISCIPLINE DELLE ARTI FIGURATIVE, DELLA MUSICA, DELLO SPETTACOLO E DELLA MODA",delle Arti - DARvipem,Exam
1,956,2018/2019,"Dams - discipline delle arti, della musica  e dello spettacolo",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0956,Bologna,Bologna,Studi umanistici,Laurea,3,False,Titolo unico,Italiano,libero accesso con verifica delle conoscenze,27104,ANALISI DEL FILM,University of Bologna,L-ART/06,12,"L-3, DISCIPLINE DELLE ARTI FIGURATIVE, DELLA MUSICA, DELLO SPETTACOLO E DELLA MODA",delle Arti - DARvipem,Exam
2,956,2018/2019,"Dams - discipline delle arti, della musica  e dello spettacolo",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0956,Bologna,Bologna,Studi umanistici,Laurea,3,False,Titolo unico,Italiano,libero accesso con verifica delle conoscenze,45,ANTROPOLOGIA CULTURALE,University of Bologna,M-DEA/01,12,"L-3, DISCIPLINE DELLE ARTI FIGURATIVE, DELLA MUSICA, DELLO SPETTACOLO E DELLA MODA",delle Arti - DARvipem,Exam
3,956,2018/2019,"Dams - discipline delle arti, della musica  e dello spettacolo",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0956,Bologna,Bologna,Studi umanistici,Laurea,3,False,Titolo unico,Italiano,libero accesso con verifica delle conoscenze,41822,CINEMATOGRAFIA DOCUMENTARIA E SPERIMENTALE (1),University of Bologna,L-ART/06,6,"L-3, DISCIPLINE DELLE ARTI FIGURATIVE, DELLA MUSICA, DELLO SPETTACOLO E DELLA MODA",delle Arti - DARvipem,Exam
4,956,2018/2019,"Dams - discipline delle arti, della musica  e dello spettacolo",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0956,Bologna,Bologna,Studi umanistici,Laurea,3,False,Titolo unico,Italiano,libero accesso con verifica delle conoscenze,87329,DIDATTICA DELLA STORIA DELL'ARTE (1),University of Bologna,L-ART/02,6,"L-3, DISCIPLINE DELLE ARTI FIGURATIVE, DELLA MUSICA, DELLO SPETTACOLO E DELLA MODA",delle Arti - DARvipem,Exam
5,956,2018/2019,"Dams - discipline delle arti, della musica  e dello spettacolo",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0956,Bologna,Bologna,Studi umanistici,Laurea,3,False,Titolo unico,Italiano,libero accesso con verifica delle conoscenze,3510,DRAMMATURGIA,University of Bologna,L-ART/05,12,"L-3, DISCIPLINE DELLE ARTI FIGURATIVE, DELLA MUSICA, DELLO SPETTACOLO E DELLA MODA",delle Arti - DARvipem,Exam
6,956,2018/2019,"Dams - discipline delle arti, della musica  e dello spettacolo",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0956,Bologna,Bologna,Studi umanistici,Laurea,3,False,Titolo unico,Italiano,libero accesso con verifica delle conoscenze,3522,DRAMMATURGIA MUSICALE,University of Bologna,L-ART/07,12,"L-3, DISCIPLINE DELLE ARTI FIGURATIVE, DELLA MUSICA, DELLO SPETTACOLO E DELLA MODA",delle Arti - DARvipem,Exam
7,956,2018/2019,"Dams - discipline delle arti, della musica  e dello spettacolo",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0956,Bologna,Bologna,Studi umanistici,Laurea,3,False,Titolo unico,Italiano,libero accesso con verifica delle conoscenze,78048,ELEMENTI DI ARMONIA E CONTRAPPUNTO,University of Bologna,L-ART/07,12,"L-3, DISCIPLINE DELLE ARTI FIGURATIVE, DELLA MUSICA, DELLO SPETTACOLO E DELLA MODA",delle Arti - DARvipem,Exam
8,956,2018/2019,"Dams - discipline delle arti, della musica  e dello spettacolo",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0956,Bologna,Bologna,Studi umanistici,Laurea,3,False,Titolo unico,Italiano,libero accesso con verifica delle conoscenze,345,ESTETICA,University of Bologna,M-FIL/04,12,"L-3, DISCIPLINE DELLE ARTI FIGURATIVE, DELLA MUSICA, DELLO SPETTACOLO E DELLA MODA",delle Arti - DARvipem,Exam
9,956,2018/2019,"Dams - discipline delle arti, della musica  e dello spettacolo",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0956,Bologna,Bologna,Studi umanistici,Laurea,3,False,Titolo unico,Italiano,libero accesso con verifica delle conoscenze,3527,ETNOMUSICOLOGIA,University of Bologna,L-ART/08,12,"L-3, DISCIPLINE DELLE ARTI FIGURATIVE, DELLA MUSICA, DELLO SPETTACOLO E DELLA MODA",delle Arti - DARvipem,Exam
10,956,2018/2019,"Dams - discipline delle arti, della musica  e dello spettacolo",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0956,Bologna,Bologna,Studi umanistici,Laurea,3,False,Titolo unico,Italiano,libero accesso con verifica delle conoscenze,10362,FENOMENOLOGIA DEGLI STILI (1),University of Bologna,L-ART/03,6,"L-3, DISCIPLINE DELLE ARTI FIGURATIVE, DELLA MUSICA, DELLO SPETTACOLO E DELLA MODA",delle Arti - DARvipem,Exam
11,956,2018/2019,"Dams - discipline delle arti, della musica  e dello spettacolo",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0956,Bologna,Bologna,Studi umanistici,Laurea,3,False,Titolo unico,Italiano,libero accesso con verifica delle conoscenze,354,FILMOLOGIA,University of Bologna,L-ART/06,12,"L-3, DISCIPLINE DELLE ARTI FIGURATIVE, DELLA MUSICA, DELLO SPETTACOLO E DELLA MODA",delle Arti - DARvipem,Exam
