annoaccademico,corso_codice,corso_descrizione,indirizzo_codice,indirizzo_descrizione,orientamento_codice,orientamento_descrizione,curriculum_codice,curriculum_descrizione,curriculum_note,url
2018/2019,0659,Giurisprudenza,000,,000,,Manifesto-2018_0659_000_000_88,Piano didattico per studenti immatricolati nell'a.a. 2016-17,"Ciclo 1: lezioni da fine settembre a inizio dicembre; esami di profitto a partire dal mese di gennaio.
Ciclo 2: lezioni da fine febbraio a metà maggio; esami di profitto a partire da fine maggio.
Ciclo A: lezioni da fine settembre a metà maggio; esami di profitto a partire da fine maggio.",http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0659/000/000/88
2018/2019,0659,Giurisprudenza,000,,000,,Manifesto-2018_0659_000_000_19,Piano di studio per gli studenti immatricolati nell'a.a. 2015-16,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0659/000/000/19
2018/2019,0659,Giurisprudenza,000,,000,,Manifesto-2018_0659_000_000_2,Piano didattico per gli studenti immatricolati fino all'a.a. 2013-14,"Il Corso di laurea magistrale a ciclo unico in Giurisprudenza, sede di Bologna (cod. 0659) a partire dall'a.a. 2017-18 sarà sostituito dall'omonimo Corso di laurea cod. 9232.

Il piano didattico per gli immatricolati fino all'a.a. 2013-14 non è più attivo a partire dall'a.a 2014-15. 
Nella scelta delle sole attività a completamento del curriculum/a scelta, gli studenti immatricolati fino all'a.a. 2013-14 e iscritti in corso possono fare riferimento all'elenco visualizzato al momento della compilazione del piano di studio online 

Ciclo 1: lezioni da fine settembre a inizio dicembre; esami di profitto a partire dal mese di gennaio.
Ciclo 2: lezioni da fine febbraio a metà maggio; esami di profitto a partire da fine maggio.
Ciclo A: lezioni da fine settembre a metà maggio; esami di profitto a partire da fine maggio.",http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0659/000/000/2
2018/2019,0659,Giurisprudenza,000,,000,,Manifesto-2018_0659_000_000_1,Piano didattico  per gli studenti immatricolati negli a.a. 2014-15,"Il Corso di laurea magistrale a ciclo unico in Giurisprudenza, sede di Bologna (cod. 0659) a partire dall'a.a. 2017-18 sarà sostituito dall'omonimo Corso di laurea cod. 9232.

Il piano didattico per gli immatricolati fino all'a.a. 2013-14 non è più attivo a partire dall'a.a 2014-15. 
Nella scelta delle sole attività a completamento del curriculum/a scelta, gli studenti immatricolati fino all'a.a. 2013-14 e iscritti in corso possono fare riferimento all'elenco visualizzato al momento della compilazione del piano di studio online 

Ciclo 1: lezioni da fine settembre a inizio dicembre; esami di profitto a partire dal mese di gennaio.
Ciclo 2: lezioni da fine febbraio a metà maggio; esami di profitto a partire da fine maggio.
Ciclo A: lezioni da fine settembre a metà maggio; esami di profitto a partire da fine maggio.",http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0659/000/000/1
2018/2019,0660,Giurisprudenza,000,,000,,Manifesto-2018_0660_000_000_88,Piano didattico per gli immatricolati nell’A.A. 2016/17 (III anno a.a. 2018-19),"A partire dall'a.a. 2017-18 il Corso di Laurea magistrale a ciclo unico in Giurisprudenza, sede di Ravenna (cod. 0660) è stato sostituito dall'omonimo CdS cod. 9233.
Ciclo 1: lezioni da fine settembre a inizio dicembre; esami di profitto a partire dal mese di gennaio.
Ciclo 2: lezioni da fine febbraio a metà maggio; esami di profitto a partire da fine maggio.
Ciclo A: lezioni da fine settembre a metà maggio; esami di profitto a partire da fine maggio.",http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0660/000/000/88
2018/2019,0660,Giurisprudenza,000,,000,,Manifesto-2018_0660_000_000_3,Piano didattico per studenti immatricolati nell'a.a. 2015-16 (IV anno a.a. 2018-19),"A partire dall'a.a. 2017-18 il Corso di Laurea magistrale a ciclo unico in Giurisprudenza, sede di Ravenna (cod. 0660) è stato sostituito dall'omonimo Corso di laurea codice 9233

Ciclo 1: lezioni da fine settembre a inizio dicembre; esami di profitto a partire dal mese di gennaio.
Ciclo 2: lezioni da fine febbraio a metà maggio; esami di profitto a partire da fine maggio.
Ciclo A: lezioni da fine settembre a metà maggio; esami di profitto a partire da fine maggio.",http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0660/000/000/3
2018/2019,0660,Giurisprudenza,000,,000,,Manifesto-2018_0660_000_000_2,Piano didattico per studenti immatricolati a.a. 2014-15 (V anno a.a. 18-19),"A partire dall'a.a. 2017-18 il Corso di Laurea magistrale a ciclo unico in Giurisprudenza, sede di Ravenna (cod. 0660) è stato sostituito dall'omonimo Corso di laurea codice 9233

Ciclo 1: lezioni da fine settembre a inizio dicembre; esami di profitto a partire dal mese di gennaio.
Ciclo 2: lezioni da fine febbraio a metà maggio; esami di profitto a partire da fine maggio.
Ciclo A: lezioni da fine settembre a metà maggio; esami di profitto a partire da fine maggio.",http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0660/000/000/2
2018/2019,0881,Architettura,000,,000,,Manifesto-2018_0881_000_000_2,Piano didattico per studenti immatricolati dall'a.a. 2012/2013,Legenda periodi: 1= primo semestre; 2= secondo semestre; E= annuale.,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0881/000/000/2
2018/2019,0884,Chimica industriale,A39,CHIMICA INDUSTRIALE,000,,Manifesto-2018_0884_000_A39_2018,Curriculum Chimica Industriale: per studenti immatricolati nell'a.a. 2018-19,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0884/A39/000/2018
2018/2019,0884,Chimica industriale,A39,CHIMICA INDUSTRIALE,000,,Manifesto-2018_0884_000_A39_2017,Curriculum Chimica Industriale: per studenti immatricolati nell'a.a. 2017-18,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0884/A39/000/2017
2018/2019,0884,Chimica industriale,A39,CHIMICA INDUSTRIALE,000,,Manifesto-2018_0884_000_A39_88,Curriculum Chimica Industriale: per studenti immatricolati nell'a.a. 2016-17,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0884/A39/000/88
2018/2019,0884,Chimica industriale,A40,ADVANCED SPECTROSCOPY IN CHEMISTRY,000,,Manifesto-2018_0884_000_A40_2018,Curriculum Advanced Spectroscopy in Chemistry: for students enrolled a.y. 2018-19,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0884/A40/000/2018
2018/2019,0884,Chimica industriale,A40,ADVANCED SPECTROSCOPY IN CHEMISTRY,000,,Manifesto-2018_0884_000_A40_2017,Curriculum Advanced Spectroscopy in Chemistry: for students enrolled a.y. 2017-18,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0884/A40/000/2017
2018/2019,0897,Direzione aziendale,755,DIREZIONE AZIENDALE,000,,Manifesto-2018_0897_000_755_2018,Piano di studi Curr. 755.DIREZIONE AZIENDALE immatricolati a.a. 2018/19,Le lezioni si svolgeranno nei seguenti periodi: 1 (dal 18/09 al 22/10/2018); 2 (dal 05/11 al 07/12/2018); P (dal 18/09 al 07/12/2018); 3 (dal 18/02 al 23/03/2019); 4 (dal 15/04 al 24/05/2019); S (dal 18/02 al 24/05/2019). Ore di lezione: 3 e 6 cfu = 30; 4 e 8 cfu = 40; 9 cfu = 60,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0897/755/000/2018
2018/2019,0897,Direzione aziendale,755,DIREZIONE AZIENDALE,000,,Manifesto-2018_0897_000_755_2017,Piano di studi Curr. 755.DIREZIONE AZIENDALE immatricolati a.a. 2017/18,Le lezioni si svolgeranno nei seguenti periodi: 1 (dal 18/09 al 22/10/2018); 2 (dal 05/11 al 07/12/2018); P (dal 18/09 al 07/12/2018); 3 (dal 18/02 al 23/03/2019); 4 (dal 15/04 al 24/05/2019); S (dal 18/02 al 24/05/2019). Ore di lezione: 3 e 6 cfu = 30; 4 e 8 cfu = 40; 9 cfu = 60,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0897/755/000/2017
2018/2019,0897,Direzione aziendale,756,INTERNATIONAL MANAGEMENT,000,,Manifesto-2018_0897_000_756_2018,Study plan Curr.756.INTERNATIONAL MANAGEMENT for students enrolled in a.y. 2018/19,Classes will be held in the following terms: First term (from 18/09 to 22/10/2018); Second term (from 05/11 to 07/12/2018); P (from 18/09 to 07/12/2018); Third term (from 18/02 to 23/03/2019); Fourth term (from 15/04 to 24/05/2019); S (from 15/02 to 24/05/2019). Lesson hours: 3 and 6 ECTS (CFU) = 30; 4 and 8 ECTS (CFU) = 40; 9 ECTS (CFU) = 60,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0897/756/000/2018
2018/2019,0897,Direzione aziendale,756,INTERNATIONAL MANAGEMENT,000,,Manifesto-2018_0897_000_756_2017,Study plan Curr.756.INTERNATIONAL MANAGEMENT for students enrolled in a.y. 2017/18,Classes will be held in the following terms: First term (from 18/09 to 22/10/2018); Second term (from 05/11 to 07/12/2018); P (from 18/09 to 07/12/2018); Third term (from 18/02 to 23/03/2019); Fourth term (from 15/04 to 24/05/2019); S (from 15/02 to 24/05/2019). Lesson hours: 3 and 6 ECTS (CFU) = 30; 4 and 8 ECTS (CFU) = 40; 9 ECTS (CFU) = 60,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0897/756/000/2017
2018/2019,0900,Economia e professione,000,,000,,Manifesto-2018_0900_000_000_2018,Piano di studi immatricolati a.a. 2018/19,"Le lezioni si svolgeranno nei seguenti periodi: 1 (dal 18/09 al 22/10/2018); 2 (dal 05/11 al 07/12/2018); P (dal 18/09 al 07/12/2018); 3 (dal 18/02 al 23/03/2019); 4 (dal 15/04 al 24/05/2019); S (dal 18/02 al 24/05/2019). 
Ore di lezione: 2 cfu = 20; 4 cfu = 26 e 30; 6 cfu = 40; 8 cfu = 52.",http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0900/000/000/2018
